fold_pair,model,cluster_num,name,TMscore_fold1,TMscore_fold2,TMdiff
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_001,0.3689173668455791,0.567255206164792,-0.1983378393192129
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_002,0.4827940620619378,0.29667643092012974,0.18611763114180807
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_003,0.5459942106005741,0.3024247629523976,0.24356944764817645
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_004,0.5459942106005741,0.3024247629523976,0.24356944764817645
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_005,0.4946584625768672,0.3263804819770731,0.1682779805997941
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_006,0.5085074570667683,0.33993959541025753,0.16856786165651072
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_007,0.5028121295573518,0.2974503278436391,0.20536180171371266
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_008,0.5392236044954234,0.39826816410876503,0.14095544038665836
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_009,0.49942586734754163,0.3514014094619845,0.14802445788555713
1jfkA_2nxqB,esm2,ShallowMsa_000,ShallowMsa_000__sample_010,0.49110366063088,0.30175755932698073,0.18934610130389928
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_001,0.3689173668455791,0.567255206164792,-0.1983378393192129
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_002,0.42044464357716366,0.34178001120834395,0.07866463236881971
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_003,0.4431526918947747,0.457773336159224,-0.014620644264449312
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_004,0.4097135678543539,0.3432888119167794,0.06642475593757452
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_005,0.4423991541292724,0.44906336180854406,-0.006664207679271672
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_006,0.44492723716546084,0.39192312964188475,0.053004107523576094
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_007,0.47436489785130653,0.39095088905446135,0.08341400879684518
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_008,0.43010996368428106,0.4753662666957782,-0.045256303011497134
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_009,0.44252428393168464,0.3246625181862747,0.11786176574540996
1jfkA_2nxqB,esm2,ShallowMsa_001,ShallowMsa_001__sample_010,0.47688260814114697,0.44412919984932514,0.03275340829182183
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_001,0.3689173668455791,0.567255206164792,-0.1983378393192129
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_002,0.5866841090939955,0.41036295834170117,0.17632115075229432
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_003,0.5841739066265497,0.27816697152604525,0.3060069351005044
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_004,0.5213690091363947,0.29247360909276804,0.22889540004362668
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_005,0.5372111268938009,0.2889584679314542,0.24825265896234672
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_006,0.4953439454957429,0.3739923856002661,0.1213515598954768
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_007,0.49131124279134963,0.3298033042927888,0.16150793849856082
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_008,0.5879563827739196,0.31679315968225935,0.27116322309166024
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_009,0.4793124144734431,0.2965648046493955,0.18274760982404759
1jfkA_2nxqB,esm2,ShallowMsa_002,ShallowMsa_002__sample_010,0.49047014996991123,0.3219799474899655,0.16849020247994573
