pair_id,ss_switch_fraction,error
1dzlA_5keqF,0.06593406593406594,
1eboE_5fhcJ,0.3621460506706408,
1fzpD_2frhA,0.02857142857142857,
1iytA_2naoF,0.0,
1jfkA_2nxqB,0.03125,
1rk4B_1k0nA,0.038834951456310676,
1kctA_3t1pA,0.013477088948787063,
1miqB_1qs8B,0.17378048780487804,
1mnmD_1mnmC,0.024691358024691357,
1nocA_1qomB,0.11290322580645161,
1nqjB_1nqdA,0.009009009009009009,
1nrjB_2gedB,0.20245398773006135,
1qb3A_3qy2A,0.0761904761904762,
1qlnA_1h38D,0.042007001166861145,
2z9oB_1repC,0.102803738317757,
1svfC_4wsgC,0.3709677419354839,
2namA_1uxmK,0.26143790849673204,
1wp8C_5ejbC,0.3333333333333333,
1x0gD_1x0gA,0.0392156862745098,
1xjuB_1xjtA,0.13548387096774195,
3lqcA_1xntA,0.0,
3l5nB_2a73B,0.0707070707070707,
2bzyB_2lqwA,0.047619047619047616,
2c1vB_2c1uC,0.0243161094224924,
2grmB_2axzA,0.013071895424836602,
2h44A_1rkpA,0.01607717041800643,
2n54B_2hdmA,0.0,
2jmrA_4j3oF,0.0111731843575419,
2k42A_1ceeB,0.0,
2kb8A_6vw2A,0.0,
2kkwA_2n0aD,0.0,
3r9jC_2kxoA,0.1,
2lelA_2k0qA,0.04054054054054054,
2lepA_4hddA,0.0,
2lv1A_6lniA,0.0,
2mwfA_2nntA,0.0,
6c6sD_2ougC,0.2978723404255319,
2p3vD_2p3vA,0.015748031496062992,
2pbkB_3njqA,0.010526315789473684,
2qqjA_4qdsA,0.04945054945054945,
2vfxL_3gmhL,0.1443850267379679,
3m7pA_3ejhA,0.0,
3g0hA_3ewsB,0.027160493827160494,
3hdfA_3hdeA,0.16541353383458646,
5et5A_3ifaA,0.17375886524822695,
3j7vG_3j7wB,0.05362776025236593,
1xtgB_3j97M,0.0,
1zk9A_3jv6A,0.0594059405940594,
3kdsG_2ce7C,0.10086004691164972,
5c3iF_3kuyA,0.0,
3l9qB_4rr2D,0.0718562874251497,
3lowA_3m1bF,0.0,
3meeA_4b3oB,0.12439024390243902,
1xezA_3o44A,0.07228915662650602,
3t5oA_4a5wB,0.027554535017221583,
5lj3M_3tp2A,0.03680981595092025,
3v0tA_3uyiA,0.041811846689895474,
4tsyD_3zwgN,0.017045454545454544,
3zxgB_5ec5P,0.020761245674740483,
4aalA_4aanA,0.015625,
4dxrA_4dxtA,0.02040816326530612,
4g0dZ_4fu4C,0.0,
4gqcB_4gqcC,0.03125,
4h2aA_3j9cA,0.08747044917257683,
4cmqB_4zt0C,0.0839041095890411,
5hk5H_4jphB,0.13333333333333333,
4n9wA_4nc9C,0.13872832369942195,
4o01D_4o0pA,0.006224066390041493,
4ow6B_4ae0A,0.06557377049180328,
2wcdX_4phqA,0.014035087719298246,
4pyjA_4pyiA,0.014492753623188406,
4qhhA_4qhfA,0.037037037037037035,
4rmbB_4rmbA,0.02127659574468085,
4rwqB_4rwnA,0.002890173410404624,
4q79F_4uv2D,0.19576719576719576,
4xwsD_4y0mJ,0.11855670103092783,
4ydqB_4twaA,0.1506276150627615,
4yhdG_7ahlE,0.05137395459976105,
4zrbH_4zrbC,0.04878048780487805,
3mkoA_5ineA,0.2912621359223301,
5ly6B_5aoeB,0.12101910828025478,
5bmyA_5b3zA,0.19896640826873385,
5c1vB_5c1vA,0.003215434083601286,
3ztjE_5hmgA,0.059748427672955975,
5f5rB_5f3kA,0.15609756097560976,
2uy7D_5fluE,0.032467532467532464,
5i2sA_5i2mA,0.0,
5jytA_2qkeE,0.1346153846153846,
5jztG_5jzhA,0.018912529550827423,
5l35G_5l35D,0.009478672985781991,
5wrgC_1wyyB,0.11290322580645161,
5tpnA_1g2cF,0.6944444444444444,
7kdtB_6z4uA,0.23684210526315788,
