pair_id,method,cluster_norm,TMdiff_centered,mean_pid_to_query,resid_ols,resid_ts,resid_spearman,pref_ols,pref_ts,pref_spearman,beta_ols,beta_ts,spearman_rho
1dzlA_5keqF,AF2,DeepMsa,0.0068,,,,,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF2,ShallowMsa_000,0.0014,0.4963810796681602,-0.004022974141586392,1.5178830414797062e-18,0.00027999999999999965,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF2,ShallowMsa_001,0.0,0.5047724823509169,-0.0039322078980605635,-0.0002533423789262135,-0.0005600000000000005,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF2,ShallowMsa_002,0.0134,0.5393560619938017,0.015611703324057416,0.017872390214387836,0.0144,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF2,ShallowMsa_004,-0.0175,0.5902776391583786,-0.006241874858999241,-0.006069343481357389,-0.015500000000000002,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF2,ShallowMsa_005,-0.0025,0.5330159302994727,-0.001414646425411279,0.0011060320379589089,-0.0025,Amb,Amb,Amb,-0.17765399896600992,-0.13664671621945032,-0.39999999999999997
1dzlA_5keqF,AF3,DeepMsa,0.0051,,,,,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,AF3,ShallowMsa_000,-0.0084,0.4963810796681602,-0.009771987024936766,-0.01197890132784102,-0.00906,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,AF3,ShallowMsa_001,0.0048,0.5047724823509169,0.00463022331170604,0.002040864596851947,0.00447,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,AF3,ShallowMsa_002,0.0011,0.5393560619938017,0.005884905919206384,0.0017193748670597008,0.0036199999999999982,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,AF3,ShallowMsa_004,-0.0167,0.5902776391583786,-0.004619717045532802,-0.011106036810904218,-0.011659999999999998,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,AF3,ShallowMsa_005,0.0,0.5330159302994727,0.003876574839557237,0.0,0.0,Amb,Amb,Amb,-0.1432669104431387,-0.0976911674585092,-0.3
1dzlA_5keqF,ESM,ShallowMsa_000,0.0109,0.4963810796681602,0.003506610764279834,6.938893903907228e-18,-0.00028000000000000073,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,ESM,ShallowMsa_001,0.0028,0.5047724823509169,-0.0035154132508497496,-0.006369616678476905,-0.004859999999999996,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,ESM,ShallowMsa_002,-0.0095,0.5393560619938017,-0.01137273903590715,-0.01153816897241181,-0.008879999999999999,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,ESM,ShallowMsa_003,-0.0034,,,,,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,ESM,ShallowMsa_004,-0.0029,0.5902776391583786,0.0017687462640340185,0.005562321966045766,0.0013200000000000009,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,ESM,ShallowMsa_005,0.0123,0.5330159302994727,0.009612795258443116,0.008954438383606192,0.0095,Amb,Amb,Amb,-0.1284619539335811,-0.20620906741596645,-0.6
1dzlA_5keqF,MSAT,DeepMsa,-0.0073,,,,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,MSAT,ShallowMsa_000,0.0,0.4963810796681602,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,MSAT,ShallowMsa_001,0.0,0.5047724823509169,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,MSAT,ShallowMsa_002,0.0,0.5393560619938017,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,MSAT,ShallowMsa_004,0.0,0.5902776391583786,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,MSAT,ShallowMsa_005,0.0,0.5330159302994727,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,DeepMsa,0.0,,,,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,ShallowMsa_000,0.0,0.4963810796681602,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,ShallowMsa_001,0.0,0.5047724823509169,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,ShallowMsa_002,0.0,0.5393560619938017,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,ShallowMsa_004,0.0,0.5902776391583786,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,CCMpred,ShallowMsa_005,0.0,0.5330159302994727,0.0,0.0,,Amb,Amb,Amb,0.0,0.0,
1dzlA_5keqF,DDG,ShallowMsa_000,-14.1925,0.4963810796681602,-7.245714231035619,-10.921915115908766,-5.329070518200751e-15,F2,F2,Amb,117.82291714703491,89.27523458484649,0.9999999999999999
1dzlA_5keqF,DDG,ShallowMsa_001,-1.3313,0.5047724823509169,4.626786225926536,1.1901404410922172,0.0,F1,Amb,Amb,117.82291714703491,89.27523458484649,0.9999999999999999
1dzlA_5keqF,DDG,ShallowMsa_002,0.7504,0.5393560619938017,2.6337479870150355,0.18438325568995229,0.0,F1,Amb,Amb,117.82291714703491,89.27523458484649,0.9999999999999999
1dzlA_5keqF,DDG,ShallowMsa_004,1.4712,0.5902776391583786,-2.6451807802432614,-3.6408524911080096,0.0,F2,F2,Amb,117.82291714703491,89.27523458484649,0.9999999999999999
1dzlA_5keqF,DDG,ShallowMsa_005,0.0,0.5330159302994727,2.63036079833725,0.0,0.0,F1,Amb,Amb,117.82291714703491,89.27523458484649,0.9999999999999999
1dzlA_5keqF,Boltz2,ShallowMsa_002,0.0062,0.5393560619938017,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF2,DeepMsa,0.2499,,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF2,ShallowMsa_000,0.005,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF2,ShallowMsa_001,-0.005,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF3,DeepMsa,0.5205,,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF3,ShallowMsa_000,0.1158,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,AF3,ShallowMsa_001,-0.1157,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,ESM,ShallowMsa_000,0.1233,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,ESM,ShallowMsa_001,-0.1233,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,MSAT,DeepMsa,0.0,,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,MSAT,ShallowMsa_000,0.0,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,MSAT,ShallowMsa_001,0.0,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,CCMpred,DeepMsa,0.0,,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,CCMpred,ShallowMsa_000,0.0,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,CCMpred,ShallowMsa_001,0.0,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,DDG,ShallowMsa_000,-1.875,0.3416218870702409,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,DDG,ShallowMsa_001,1.875,0.3161884881640975,,,,Amb,Amb,Amb,,,
1eboE_5fhcJ,Boltz2,ShallowMsa_000,0.0015,0.3416218870702409,,,,Amb,Amb,Amb,,,
1fzpD_2frhA,AF2,DeepMsa,-0.2791,,,,,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_000,-0.0284,0.2601415513532822,-0.04219091819624506,-0.04759090001030899,-0.015492857142857142,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_001,-0.0386,0.2928239114976426,-0.02207630274503012,-0.022626673195586124,-0.011753571428571426,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_002,-0.2051,0.4937303718987216,-0.002224948013557382,0.027036428578009863,-0.04162499999999986,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_003,-0.0139,0.3187825696601511,0.026701723944293234,0.03000326024252339,0.02287857142857144,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_004,0.0518,0.2511385918555504,0.029658361296083832,0.02292246449630435,0.00485,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_005,0.0139,0.257892888450719,-0.0019766718220393907,-0.0077103241885604044,0.0009928571428571634,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_006,0.0167,0.2551078907735862,-0.0017599042826662234,-0.007906811882980307,0.00030000000000000165,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF2,ShallowMsa_007,0.0324,0.2550308753235621,0.013868659819162119,0.0077103241885603385,0.002803571428571433,Amb,Amb,Amb,-0.9275528241324386,-1.0759390282525478,-0.9285714285714287
1fzpD_2frhA,AF3,DeepMsa,-0.2877,,,,,Amb,Amb,Amb,-1.0941196011103578,-1.0320168592214245,-0.8095238095238096
1fzpD_2frhA,AF3,ShallowMsa_000,-0.0088,0.2601415513532822,-0.05283538342813057,-0.03963638917334841,-0.0016761904761904544,F2,Amb,Amb,-1.0941196011103578,-1.0320168592214245,-0.8095238095238096
1fzpD_2frhA,AF3,ShallowMsa_001,-0.0309,0.2928239114976426,-0.039176972583637906,-0.02800764250522216,-0.014814285714285703,Amb,Amb,Amb,-1.0941196011103578,-1.0320168592214245,-0.8095238095238096
